,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
293,2023.02.02,웹케시,"15,940",100,+0.63%,"16,804",-727,+781,"2,346,399",17.02%
294,2023.02.03,웹케시,"15,960",20,+0.13%,"15,589",-395,"+1,172","2,347,571",17.03%
295,2023.02.06,웹케시,"15,780",180,-1.13%,"9,199",+2,"-1,007","2,346,564",17.02%
296,2023.02.07,웹케시,"15,700",80,-0.51%,"13,767","+3,003",-277,"2,346,287",17.02%
297,2023.02.08,웹케시,"16,340",640,+4.08%,"132,605","-12,052","-16,066","2,330,221",16.90%
298,2023.02.09,웹케시,"17,330",990,+6.06%,"410,868",-799,"-63,877","2,266,344",16.44%
312,2023.02.01,엔에프씨,"9,350",10,+0.11%,"8,757",0,"+1,049","66,665",0.75%
313,2023.02.02,엔에프씨,"9,420",70,+0.75%,"20,971",0,"+6,122","72,787",0.81%
314,2023.02.03,엔에프씨,"9,450",30,+0.32%,"12,554",0,-166,"72,621",0.81%
315,2023.02.06,엔에프씨,"9,910",460,+4.87%,"599,385",0,"-35,879","36,742",0.41%
316,2023.02.07,엔에프씨,"9,970",60,+0.61%,"53,723",0,"+6,075","42,817",0.48%
317,2023.02.08,엔에프씨,"9,940",30,-0.30%,"20,093",0,-600,"42,217",0.47%
318,2023.02.09,엔에프씨,"10,000",60,+0.60%,"23,443",+500,-60,"42,157",0.47%
321,2023.02.01,코오롱모빌리티그룹,"5,660",785,+16.10%,"29,045,623","-156,667","-261,441","1,645,333",2.62%
322,2023.02.02,코오롱모빌리티그룹,"5,140",520,-9.19%,"7,184,618","-1,599","-241,147","1,404,186",2.24%
323,2023.02.03,코오롱모빌리티그룹,"5,560",420,+8.17%,"33,550,369","-10,173","-195,019","1,209,167",1.93%
324,2023.02.06,코오롱모빌리티그룹,"6,930","1,370",+24.64%,"45,676,950","-19,137","-139,328","1,069,945",1.70%
325,2023.02.07,코오롱모빌리티그룹,"7,240",310,+4.47%,"26,277,658","+9,117","+26,284","1,096,229",1.75%
326,2023.02.08,코오롱모빌리티그룹,"6,900",340,-4.70%,"8,815,384","-39,378","-10,790","1,085,439",1.73%
327,2023.02.09,코오롱모빌리티그룹,"6,620",280,-4.06%,"6,797,109","-4,441","+10,341","1,095,780",1.75%
341,2023.02.01,미투젠,"12,870",30,+0.23%,"17,660",0,"-2,364","1,875,378",13.81%
342,2023.02.02,미투젠,"13,050",180,+1.40%,"20,358",0,"+1,985","1,877,363",13.82%
343,2023.02.03,미투젠,"13,400",350,+2.68%,"71,315","-1,344",+739,"1,878,102",13.83%
344,2023.02.06,미투젠,"13,430",30,+0.22%,"15,398",0,"-1,700","1,876,402",13.82%
345,2023.02.07,미투젠,"13,570",140,+1.04%,"24,888",0,"-1,400","1,875,002",13.81%
346,2023.02.08,미투젠,"13,690",120,+0.88%,"24,958",0,-187,"1,874,815",13.81%
347,2023.02.09,미투젠,"13,670",20,-0.15%,"17,327",0,"-1,592","1,873,223",13.79%
361,2023.02.01,포스코케미칼,"223,500",500,-0.22%,"1,520,474","+19,983","+64,021","6,023,814",7.78%
362,2023.02.02,포스코케미칼,"224,000",500,+0.22%,"898,161","-16,782","+33,194","6,058,452",7.82%
363,2023.02.03,포스코케미칼,"227,500","3,500",+1.56%,"1,124,018","-20,552","+40,812","6,074,264",7.84%
364,2023.02.06,포스코케미칼,"225,500","2,000",-0.88%,"866,264","-9,533","-90,636","6,012,728",7.76%
365,2023.02.07,포스코케미칼,"228,000","2,500",+1.11%,"853,689","-30,493","+101,869","6,094,597",7.87%
366,2023.02.08,포스코케미칼,"225,500","2,500",-1.10%,"736,445","-45,480","-97,150","5,989,747",7.73%
367,2023.02.09,포스코케미칼,"242,500","17,000",+7.54%,"2,242,998","-54,102","+291,174","6,280,921",8.11%
381,2023.02.01,현대차,"170,000","3,000",+1.80%,"599,556","+37,977","+35,027","62,391,726",29.20%
382,2023.02.02,현대차,"169,900",100,-0.06%,"548,264","+6,239","+10,375","62,407,278",29.21%
383,2023.02.03,현대차,"172,800","2,900",+1.71%,"770,290","+112,491","+217,950","62,645,062",29.32%
384,2023.02.06,현대차,"170,700","2,100",-1.22%,"582,407","-84,369","+46,636","62,691,698",29.34%
385,2023.02.07,현대차,"170,500",200,-0.12%,"533,337","-17,152","-28,056","62,663,642",29.33%
386,2023.02.08,현대차,"172,700","2,200",+1.29%,"442,701","+58,252","+63,707","62,714,210",29.35%
